web-scraper-order,web-scraper-start-url,professors,professors-href
"1740066177-80","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Ortega Perez,  Arturo","http://www.urv.cat/html/docencia-per-centre/general-I638.php"
"1740066177-81","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Perea Arroyo,  Manuela","http://www.urv.cat/html/docencia-per-centre/general-I93415.php"
"1740066177-82","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Rodríguez Tor,  Inés Amparo","http://www.urv.cat/html/docencia-per-centre/general-I114033.php"
"1740066177-83","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Suárez Bello,  Ana María","http://www.urv.cat/html/docencia-per-centre/general-I72977.php"
"1740066177-84","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/113043/guia_docent","Suárez Reyes,  David","http://www.urv.cat/html/docencia-per-centre/general-I78530.php"
"1740066183-85","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Escoda Royo,  Francisco Javier","http://www.urv.cat/html/docencia-per-centre/general-I72973.php"
"1740066183-86","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Ferrer Ferré,  Carles","http://www.urv.cat/html/docencia-per-centre/general-I72976.php"
"1740066183-87","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Fort Robert,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I21261.php"
"1740066183-88","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","García Parla,  María","http://www.urv.cat/html/docencia-per-centre/general-I72809.php"
"1740066183-89","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Grau Ferrer,  Oscar","http://www.urv.cat/html/docencia-per-centre/general-I111021.php"
"1740066183-90","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","López Cardús,  Maria Cinta","http://www.urv.cat/html/docencia-per-centre/general-I53769.php"
"1740066183-91","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Morell Calvo,  Miriam","http://www.urv.cat/html/docencia-per-centre/general-I23204.php"
"1740066183-92","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Perea Arroyo,  Manuela","http://www.urv.cat/html/docencia-per-centre/general-I93415.php"
"1740066183-93","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Pujol Andrés,  Sònia","http://www.urv.cat/html/docencia-per-centre/general-I92533.php"
"1740066183-94","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Rodríguez Tor,  Inés Amparo","http://www.urv.cat/html/docencia-per-centre/general-I114033.php"
"1740066183-95","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114991/guia_docent","Torres Rosell,  Núria","http://www.urv.cat/html/docencia-per-centre/general-I16895.php"
"1740066188-96","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Arribas Solanas,  José Ignacio","http://www.urv.cat/html/docencia-per-centre/general-I7379.php"
"1740066188-97","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Artero Juan,  Francesc Josep","http://www.urv.cat/html/docencia-per-centre/general-I9574.php"
"1740066188-98","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Esteve Izquierdo,  Judit","http://www.urv.cat/html/docencia-per-centre/general-I21946.php"
"1740066188-99","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Font Monclús,  Joan Anton","http://www.urv.cat/html/docencia-per-centre/general-I11339.php"
"1740066188-100","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Marfà Florensa,  María Alba","http://www.urv.cat/html/docencia-per-centre/general-I61210.php"
"1740066188-101","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Mora Alarcón,  Luis Miguel","http://www.urv.cat/html/docencia-per-centre/general-I53772.php"
"1740066188-102","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Rodríguez Beas,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I26933.php"
"1740066188-103","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114562/guia_docent","Sabaté Vidal,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7619.php"
"1740066194-104","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114564/guia_docent","Adan Domenech,  Federico","http://www.urv.cat/html/docencia-per-centre/general-I7055.php"
"1740066194-105","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114564/guia_docent","Fort Robert,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I21261.php"
"1740066194-106","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114564/guia_docent","Sagrera Vilaplana,  Vicent","http://www.urv.cat/html/docencia-per-centre/general-I53773.php"
