web-scraper-order,web-scraper-start-url,iframes
"1739481800-44,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113435/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234005&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481803-45,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112641/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234006&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481805-46,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113437/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234106&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481808-47,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112640/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234004&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481810-48,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112639/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234105&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481812-49,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113436/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234104&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481815-50,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/112830/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234003&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481817-51,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/114311/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234002&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481820-52,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113438/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234135&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481822-53,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/116386/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234102&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481825-54,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113433/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234001&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481829-55,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/113891/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234134&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481832-56,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/assignatures/115109/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2123&assignatura=21234101&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481834-57,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117802/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224230&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481837-58,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117684/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224226&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481840-59,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/114262/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224212&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481843-60,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115962/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224211&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481846-61,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113842/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224219&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481848-62,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117681/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224223&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481851-63,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117682/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224222&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481853-64,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117685/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224227&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481856-65,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113428/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224229&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481858-66,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112801/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224218&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481861-67,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117683/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224221&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481863-68,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115101/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224204&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481866-69,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113845/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224203&any_academic=2024_25&idioma=cat&modalitat=p"""
"1739481868-70,""https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115966/guia_docent_docnet"",""https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224202&any_academic=2024_25&idioma=cat&modalitat=p"""
