web-scraper-order,web-scraper-start-url,coordinators,coordinators-href
"1740065547-71","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112509/guia_docent","Cáceres Cuello De Oro,  Isabel","http://www.urv.cat/html/docencia-per-centre/general-I2196.php"
"1740065554-72","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115322/guia_docent","Ollé Cañellas,  Andreu","http://www.urv.cat/html/docencia-per-centre/general-I7414.php"
"1740065559-73","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/116591/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065565-74","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/116981/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065571-75","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/114909/guia_docent","Martínez Navarro,  Bienvenido","http://www.urv.cat/html/docencia-per-centre/general-I11958.php"
"1740065576-76","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115325/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065580-77","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115327/guia_docent","Gómez Merino,  Gala","http://www.urv.cat/html/docencia-per-centre/general-I49449.php"
"1740065584-78","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112508/guia_docent","Ruisánchez Capelastegui,  María Iciar","http://www.urv.cat/html/docencia-per-centre/general-I2125.php"
"1740065589-79","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/115326/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740065594-80","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112504/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065599-81","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/113583/guia_docent","Expósito Barea,  Maria Isabel","http://www.urv.cat/html/docencia-per-centre/general-I92213.php"
"1740065605-82","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/114908/guia_docent","Gavaldà Martínez,  Josefa","http://www.urv.cat/html/docencia-per-centre/general-I582.php"
"1740065611-83","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/112507/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065617-84","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3484/assignatures/113585/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
