web-scraper-order,web-scraper-start-url,professors
"1740086272-70","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","MUÑOZ ESTEBAN, DANIEL"
"1740086272-71","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","BUSCEMI , AGATA"
"1740086272-72","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","GONZÁLEZ PORQUERES, SÍLVIA"
"1740086272-73","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","SOLANS IBÁÑEZ, INDÍBIL"
"1740086272-74","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","JANSA FENOLLOSA, AMALIA"
"1740086275-75","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204113&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONA"
"1740086277-76","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204119&any_academic=2024_25&idioma=cat&modalitat=p","CESTERO GEA, JORDI"
"1740086277-77","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204119&any_academic=2024_25&idioma=cat&modalitat=p","HUMBERT FARRARONS, GEMMA"
"1740086279-78","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204128&any_academic=2024_25&idioma=cat&modalitat=p","DE SOLA-MORALES SERRA, PAU"
"1740086279-79","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204128&any_academic=2024_25&idioma=cat&modalitat=p","GUERRERO FERNANDEZ, JORGE"
"1740086281-80","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204123&any_academic=2024_25&idioma=cat&modalitat=p","COLL PLA, SERGIO"
"1740086284-81","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204129&any_academic=2024_25&idioma=cat&modalitat=p","FERRE BOLTA, ANNA"
"1740086286-82","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","ROEL HERRANZ, PABLO"
"1740086286-83","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","SANTACANA PORTELLA, FRANCISCO"
"1740086286-84","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","ZAGUIRRE FERNÁNDEZ, JUAN MANUEL"
"1740086286-85","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","TIÑENA RAMOS, ARNAU"
"1740086286-86","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","GRAU VALLDOSERA, FERRAN"
"1740086286-87","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","VIRGILI MARTÍNEZ, MIQUEL"
"1740086288-88","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204114&any_academic=2024_25&idioma=cat&modalitat=p","COLL PLA, SERGIO"
"1740086288-89","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204114&any_academic=2024_25&idioma=cat&modalitat=p","QUERAL LLABERIA, JORDI"
"1740086291-90","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204120&any_academic=2024_25&idioma=cat&modalitat=p","MARTIN SAIZ, RODRIGO"
"1740086293-91","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204116&any_academic=2024_25&idioma=cat&modalitat=p","ROSET PIÑOL, JOAQUIM ENRIC"
"1740086295-92","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204127&any_academic=2024_25&idioma=cat&modalitat=p","GUERRERO FERNANDEZ, JORGE"
"1740086297-93","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","ROEL HERRANZ, PABLO"
"1740086297-94","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","ZAGUIRRE FERNÁNDEZ, JUAN MANUEL"
"1740086297-95","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","TIÑENA RAMOS, ARNAU"
"1740086297-96","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","GRAU VALLDOSERA, FERRAN"
"1740086297-97","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","PAGÈS ARJONA, IGNASI"
"1740086300-98","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204132&any_academic=2024_25&idioma=cat&modalitat=p","SOCÍAS JULBE, PERE"
"1740086302-99","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204131&any_academic=2024_25&idioma=cat&modalitat=p","MIRALLES JORI, ROGER"
"1740086304-100","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204115&any_academic=2024_25&idioma=cat&modalitat=p","SOCÍAS JULBE, PERE"
"1740086307-101","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204121&any_academic=2024_25&idioma=cat&modalitat=p","MARTIN SAIZ, RODRIGO"
"1740086309-102","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","GARCÍA HERNANDEZ, PEDRO"
"1740086309-103","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","GENÍS VIÑALS, MARIONA"
"1740086309-104","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","PONT AINETO, ANDREU"
"1740086309-105","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","CASTELLÀ FABREGAT, ANNA MARIA"
