web-scraper-order,web-scraper-start-url,coordinators
"1740076242-44","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204110&any_academic=2024_25&idioma=cat&modalitat=p","GIRONES SADERRA, ANTONIO"
"1740076245-45","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","COLL PLA, SERGIOGIRONES SADERRA, ANTONIOTOLDRA DOMINGO, JOSE MARIARODENAS GARCÍA, JUAN FERNANDOCOSTA JOVER, AGUSTICASANOVA PALLEJÀ, FRANCESC XAVIERCASALS ROCA, RAQUEL INMACULADA"
"1740076247-46","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204501&any_academic=2024_25&idioma=cat&modalitat=p","COSTA JOVER, AGUSTI"
"1740076249-47","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204213&any_academic=2024_25&idioma=cat&modalitat=p","RODENAS GARCÍA, JUAN FERNANDO"
"1740076252-48","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204210&any_academic=2024_25&idioma=cat&modalitat=p","COLL PLA, SERGIO"
"1740076254-49","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204211&any_academic=2024_25&idioma=cat&modalitat=p","MANZANO SALÓ, MARC"
"1740076256-50","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204217&any_academic=2024_25&idioma=cat&modalitat=p","SANTACANA PORTELLA, FRANCISCO"
"1740076259-51","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204218&any_academic=2024_25&idioma=cat&modalitat=p","CESTERO GEA, JORDIMARTIN SAIZ, RODRIGOHUMBERT FARRARONS, GEMMAMARIN SELLARES, LAIA"
"1740076261-52","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204203&any_academic=2024_25&idioma=cat&modalitat=p","COLL PLA, SERGIO"
"1740076263-53","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204219&any_academic=2024_25&idioma=cat&modalitat=p","PASTOR GOSÁLBEZ, MARÍA INMACULADA"
"1740076266-54","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204212&any_academic=2024_25&idioma=cat&modalitat=p","FERRE BOLTA, ANNA"
"1740076268-55","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204214&any_academic=2024_25&idioma=cat&modalitat=p","RODENAS GARCÍA, JUAN FERNANDO"
"1740076270-56","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204502&any_academic=2024_25&idioma=cat&modalitat=p","DE SOLA-MORALES SERRA, PAU"
"1740076273-57","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204503&any_academic=2024_25&idioma=cat&modalitat=p","COSTA JOVER, AGUSTI"
"1740076275-58","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204206&any_academic=2024_25&idioma=cat&modalitat=p","TOLDRA DOMINGO, JOSE MARIA"
"1740076277-59","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204215&any_academic=2024_25&idioma=cat&modalitat=p","BARBERÀ ESCOÍ, CARLOSLÓPEZ CRISTIÀ, MARTA"
"1740076280-60","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204220&any_academic=2024_25&idioma=cat&modalitat=p","BORRÀS PENTINAT, SUSANA"
"1740076282-61","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204205&any_academic=2024_25&idioma=cat&modalitat=p","COSTA JOVER, AGUSTICOLL PLA, SERGIO"
"1740076285-62","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204207&any_academic=2024_25&idioma=cat&modalitat=p","SALADIE GIL, SERGI"
"1740076287-63","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695101s&any_academic=2024_25&idioma=cat&modalitat=s","CID PASTOR, ANGEL"
"1740076289-64","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695102s&any_academic=2024_25&idioma=cat&modalitat=s","PALOMINO HERRERO, AXEL"
"1740076291-65","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695103s&any_academic=2024_25&idioma=cat&modalitat=s","CANTÓ NAVARRO, ENRIQUE FERNANDO"
"1740076294-66","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695104s&any_academic=2024_25&idioma=cat&modalitat=s","LÁZARO GUILLÉN, ANTONIO RAMON"
"1740076296-67","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695105s&any_academic=2024_25&idioma=cat&modalitat=s","OLALLA MARTÍNEZ, CARLOS"
"1740076299-68","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695106s&any_academic=2024_25&idioma=cat&modalitat=s","OLALLA MARTÍNEZ, CARLOS"
"1740076301-69","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695107s&any_academic=2024_25&idioma=cat&modalitat=s","ESCAMILLA MATA, ANTONIO"
"1740076303-70","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695108s&any_academic=2024_25&idioma=cat&modalitat=s","OLALLA MARTÍNEZ, CARLOS"
"1740076306-71","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695109s&any_academic=2024_25&idioma=cat&modalitat=s","ZAMBRANO PRADA, DAVID ALEJANDRO"
"1740076308-72","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695110s&any_academic=2024_25&idioma=cat&modalitat=s","CORREIG BLANCHAR, FRANCESC XAVIER"
"1740076310-73","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695111s&any_academic=2024_25&idioma=cat&modalitat=s","VALDERRAMA BLAVI, HUGO"
"1740076313-74","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695112s&any_academic=2024_25&idioma=cat&modalitat=s","GIL DOLCET, ERNEST"
"1740076315-75","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695401s&any_academic=2024_25&idioma=cat&modalitat=s","BREZMES LLECHA, JESÚS JORGE"
"1740076317-76","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695301s&any_academic=2024_25&idioma=cat&modalitat=s","VIDAL IDIARTE, ENRIC"
"1740076320-77","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17244009s&any_academic=2024_25&idioma=cat&modalitat=s","CALVENTE CALVO, FRANCISCO JAVIER"
"1740076322-78","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695602s&any_academic=2024_25&idioma=cat&modalitat=s","CANTÓ NAVARRO, ENRIQUE FERNANDO"
"1740076324-79","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17695601s&any_academic=2024_25&idioma=cat&modalitat=s","OLALLA MARTÍNEZ, CARLOS"
"1740076326-80","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17204110s&any_academic=2024_25&idioma=cat&modalitat=s","VALDERRAMA BLAVI, HUGO"
"1740076329-81","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17204108s&any_academic=2024_25&idioma=cat&modalitat=s","DEL CASTILLO PÉREZ, ESTEBAN"
"1740076331-82","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1769&assignatura=17204119s&any_academic=2024_25&idioma=cat&modalitat=s","VIDAL IDIARTE, ENRIC"
"1740076334-83","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655101&any_academic=2024_25&idioma=cat&modalitat=p","PELLICE SALVAT, FRANCESCAFONTS RIBAS, ALBERT"
"1740076336-84","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655112&any_academic=2024_25&idioma=cat&modalitat=p","CORTADA TORBELLINO, MARIA"
"1740076338-85","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655105&any_academic=2024_25&idioma=cat&modalitat=p","GOMIS PRATS, ANNA"
"1740076341-86","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655115&any_academic=2024_25&idioma=cat&modalitat=p","CRESPO GUTIÉRREZ, ALICIA"
"1740076343-87","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655107&any_academic=2024_25&idioma=cat&modalitat=p","VILLARINO VILLARINO, RAMÓN MARIA"
"1740076345-88","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655114&any_academic=2024_25&idioma=cat&modalitat=p","BOER , DIETER-THOMAS"
"1740076348-89","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655104&any_academic=2024_25&idioma=cat&modalitat=p","TURON RODRIGUEZ, CARLOS"
"1740076350-90","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655110&any_academic=2024_25&idioma=cat&modalitat=p","GONZALEZ MOLINA, FRANCISCO"
"1740076352-91","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655109&any_academic=2024_25&idioma=cat&modalitat=p","SÁNCHEZ FERNÁNDEZ DE PINEDO, FRANCISCO"
"1740076355-92","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655113&any_academic=2024_25&idioma=cat&modalitat=p","POZO FERNÁNDEZ, CARLOS"
"1740076357-93","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655108&any_academic=2024_25&idioma=cat&modalitat=p","TURON RODRIGUEZ, CARLOS"
"1740076359-94","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655106&any_academic=2024_25&idioma=cat&modalitat=p","BROTA MINGUILLÓN, BELÉN JOSEFA"
"1740076362-95","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655117&any_academic=2024_25&idioma=cat&modalitat=p","LEYVA GRASA, RAMON"
"1740076364-96","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655116&any_academic=2024_25&idioma=cat&modalitat=p","ROMERO NEVADO, ALFONSO JOSÉ"
"1740076366-97","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655111&any_academic=2024_25&idioma=cat&modalitat=p","FIBLA BIOSCA, JOAN PERE"
"1740076369-98","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655102&any_academic=2024_25&idioma=cat&modalitat=p","MOLL GARCIA, DANIELFONTS RIBAS, ALBERT"
"1740076371-99","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655103&any_academic=2024_25&idioma=cat&modalitat=p","ROMERO ROSELL, MARIA ANAFONTS RIBAS, ALBERT"
"1740076374-100","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655118&any_academic=2024_25&idioma=cat&modalitat=p","CORREIG BLANCHAR, FRANCESC XAVIER"
"1740076377-101","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655301&any_academic=2024_25&idioma=cat&modalitat=p","GUASCH PESQUER, LUIS"
"1740076379-102","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655239&any_academic=2024_25&idioma=cat&modalitat=p","CID PASTOR, ANGEL"
"1740076381-103","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655206&any_academic=2024_25&idioma=cat&modalitat=p","SALVADÓ ROVIRA, JOAN"
"1740076384-104","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655211&any_academic=2024_25&idioma=cat&modalitat=p","GIRAL CASTILLON, ROBERTO"
"1740076386-105","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655241&any_academic=2024_25&idioma=cat&modalitat=p","OLALLA MARTÍNEZ, CARLOS"
"1740076388-106","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655242&any_academic=2024_25&idioma=cat&modalitat=p",""
"1740076390-107","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655243&any_academic=2024_25&idioma=cat&modalitat=p",""
"1740076393-108","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655244&any_academic=2024_25&idioma=cat&modalitat=p",""
"1740076395-109","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=17&ensenyament=1765&assignatura=17655245&any_academic=2024_25&idioma=cat&modalitat=p",""
