web-scraper-order,web-scraper-start-url,iframes
"1739379141-69","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113845/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224203&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379144-70","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115966/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224202&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379146-71","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112799/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224207&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379149-72","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112800/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224215&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379151-73","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117721/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224232&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379154-74","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112806/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224213&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379156-75","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112825/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224220&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379159-76","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112824/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224210&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379161-77","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/114269/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224209&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379164-78","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115102/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224208&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379166-79","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/116381/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224216&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379169-80","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113846/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224214&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379171-81","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113430/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224217&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379174-82","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/116383/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224701&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379176-83","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/112808/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224301&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379179-84","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113429/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224402&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379181-85","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117547/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224501&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379184-86","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/115100/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224121&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379186-87","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/113426/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224120&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379189-88","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117544/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224802&any_academic=2024_25&idioma=eng&modalitat=p"
"1739379191-89","https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/assignatures/117543/guia_docent_docnet","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=21&ensenyament=2122&assignatura=21224801&any_academic=2024_25&idioma=eng&modalitat=p"
